#format table ## [Custom WaveView] saved 15:00:04 Wed Mar 11 2026
TIME ,x_ssad.v(d5) ,x_ssad.v(d4) ,x_ssad.v(d3) ,x_ssad.v(d2) ,x_ssad.v(d1) ,x_ssad.v(d0) 
 7.930E-03 , 1.098E-07 , 1.098E-07 , 1.098E-07 , 1.098E-07 , 1.348E+00 , 1.348E+00 
 7.980E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.400E-06 , 1.348E+00 
 8.030E-03 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.348E+00 , 1.348E+00 
 8.080E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.893E-06 
 8.130E-03 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.348E+00 , 1.348E+00 
 8.180E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.399E-06 , 1.348E+00 
 8.230E-03 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.348E+00 , 1.348E+00 
 8.280E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.397E-06 , 1.348E+00 
 8.330E-03 , 1.095E-07 , 1.095E-07 , 1.095E-07 , 1.095E-07 , 1.348E+00 , 1.348E+00 
 8.380E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.104E-06 , 1.104E-06 
 8.430E-03 , 5.432E-08 , 5.432E-08 , 5.432E-08 , 1.348E+00 , 5.432E-08 , 5.430E-08 
 8.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.395E-06 , 1.348E+00 
 8.530E-03 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.348E+00 , 1.348E+00 
 8.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.394E-06 , 1.348E+00 
 8.630E-03 , 5.428E-08 , 5.428E-08 , 5.428E-08 , 1.348E+00 , 5.428E-08 , 5.435E-08 
 8.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.103E-06 , 1.103E-06 
 8.730E-03 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.097E-07 , 1.348E+00 , 1.348E+00 
 8.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.103E-06 , 1.103E-06 
 8.830E-03 , 5.425E-08 , 5.425E-08 , 5.425E-08 , 1.348E+00 , 5.425E-08 , 5.426E-08 
 8.880E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.103E-06 , 1.103E-06 
 8.930E-03 , 1.192E-07 , 1.192E-07 , 1.192E-07 , 1.348E+00 , 1.192E-07 , 1.348E+00 
 8.980E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.103E-06 , 1.103E-06 
 9.030E-03 , 5.426E-08 , 5.426E-08 , 5.426E-08 , 1.348E+00 , 5.426E-08 , 5.426E-08 
